0,1,2,3,4
"{'image': 'B_2_M04_OC_L1_P+_031123_1.tif', 'label': 1, 'volume': 1909314.0, 'centroid': (16.78539779208658, 221.70966169001014, 193.50279262604266), 'extent': 0.34113509086387145, 'axis_major': 331.5633131695956, 'bbox': (0, 0, 0, 38, 408, 361)}",,,,
"{'image': 'F_2_M04_OC_L23_P+_231123_1.tif', 'label': 1, 'volume': 112734.0, 'centroid': (8.713289690776518, 205.4388560682669, 187.87141412528607), 'extent': 0.25089131915234547, 'axis_major': 133.3184745701006, 'bbox': (0, 118, 97, 18, 275, 256)}",,,,
"{'image': 'B_4_M04_OC_L23_P+_131123_1.tif', 'label': 1, 'volume': 152909.0, 'centroid': (7.147035164705805, 217.0496439058525, 218.03501428954476), 'extent': 0.40436711940424813, 'axis_major': 181.52924608841994, 'bbox': (0, 165, 106, 16, 282, 308)}",,,,
"{'image': 'B_1_M04_OC_L4_P+_021123_2.tif', 'label': 1, 'volume': 450694.0, 'centroid': (14.830767660541298, 211.4617035061483, 223.5440143423254), 'extent': 0.2513742944470473, 'axis_major': 198.9769212503796, 'bbox': (0, 94, 99, 30, 317, 367)}",,,,
"{'image': 'C_2_M04_OC_L1_P+_161123_1.tif', 'label': 1, 'volume': 719242.0, 'centroid': (16.292665055711428, 186.9078571607331, 196.07368034680957), 'extent': 0.3463695921437639, 'axis_major': 236.39145181666427, 'bbox': (0, 50, 90, 39, 311, 294)}",,,,
"{'image': 'D_3_M04_OC_L1_P+_221123_1.tif', 'label': 1, 'volume': 654560.0, 'centroid': (11.870939256905402, 225.27129216572965, 236.13176026643853), 'extent': 0.37363972216767666, 'axis_major': 256.18701636524884, 'bbox': (0, 96, 126, 28, 383, 344)}",,,,
"{'image': 'B_1_M04_OC_L23_P+_021123_1.tif', 'label': 1, 'volume': 435557.0, 'centroid': (11.623417830502092, 205.9940788461671, 224.83481381311745), 'extent': 0.37756328016643553, 'axis_major': 183.50926948689852, 'bbox': (0, 89, 116, 25, 295, 340)}",,,,
"{'image': 'B_2_M04_OC_L1_P+_031123_2.tif', 'label': 1, 'volume': 63658.0, 'centroid': (1.4029344308649345, 211.03358572371107, 192.29471551101196), 'extent': 0.2279540783075149, 'axis_major': 185.6701718059712, 'bbox': (0, 129, 81, 7, 312, 299)}","{'image': 'B_2_M04_OC_L1_P+_031123_2.tif', 'label': 2, 'volume': 164726.0, 'centroid': (13.373401891626095, 213.5974223862657, 194.66191129512038), 'extent': 0.30753921579609655, 'axis_major': 245.2680166906337, 'bbox': (10, 125, 15, 17, 343, 366)}",,,
"{'image': 'A_4_M04_OC_P+_L1_311023_1.tif', 'label': 1, 'volume': 802670.0, 'centroid': (9.464245580375497, 159.73572950278447, 199.90450870220639), 'extent': 0.43398898198827046, 'axis_major': 306.4320604580635, 'bbox': (0, 0, 54, 19, 313, 365)}",,,,
"{'image': 'B_1_M04_OC_L4_P+_021123_3.tif', 'label': 1, 'volume': 102067.0, 'centroid': (3.0650846992661682, 161.40379358656568, 184.0622434283363), 'extent': 0.3226578404966933, 'axis_major': 183.4997379507281, 'bbox': (0, 64, 95, 9, 266, 269)}","{'image': 'B_1_M04_OC_L4_P+_021123_3.tif', 'label': 2, 'volume': 14753.0, 'centroid': (11.428319663797193, 45.30224361146885, 386.01145529722766), 'extent': 0.36116823345084215, 'axis_major': 87.15277290683404, 'bbox': (9, 0, 334, 15, 92, 408)}","{'image': 'B_1_M04_OC_L4_P+_021123_3.tif', 'label': 3, 'volume': 195232.0, 'centroid': (18.64709166530077, 150.19040935912145, 166.7976663661695), 'extent': 0.2437962037962038, 'axis_major': 266.46681151640365, 'bbox': (15, 0, 0, 23, 286, 350)}",,
