,ID,Genotype,Mean_OC_spread_2D,Non-MX04_OC_volume
60,B_2_M04_OC_B_2_M04_OC_DGM_P+_031123_1 - B_2_M04_OC.lif_,APPPS1,8.500579002994645,26246.073599999996
61,H_1_M04_OC_H_1_M04_OC_L1_P+_110124_1 - H_1_M04_OC.lif (default)_,APPPS1,14.050803032354619,1806.2027999999998
62,C_2_M04_OC_C_2_M04_OC_L4_P+_161123_1 - C_2_M04_OC.lif_,APPPS1,10.325754873749696,4414.5324
63,D_4_M04_OC_D_4_M04_OC_L23_P+_221123_1 - D_4_M04_OC.lif_,APPPS1xFIRE,6.713800227787039,1671.0624
64,H_1_M04_OC_H_1_M04_OC_L4_P+_110124_2 - H_1_M04_OC.lif_,APPPS1,6.542706518419754,15127.981199999998
65,B_3_M04_OC_B_3_M04_OC_L1_P+_061123_2 - B_3_M04_OC.lif_,APPPS1xFIRE,6.983494643210216,392.49359999999996
66,D_3_M04_OC_D_3_M04_OC_L23_P+_221123_1 - D_3_M04_OC.lif_,APPPS1xFIRE,4.781566113907552,4674.7692
67,B_1_M04_OC_B_1_M04_OC_L4_P+_021123_1 - B_1_M04_OC.lif_,APPPS1,8.982982335861411,3071.3903999999998
68,A_4_M04_OC_A_4_M04_OC_L1_P+_201223_2 - A_4_M04_OC.lif_,APPPS1,11.694880067048711,25536.9024
69,B_3_M04_OC_B_3_M04_OC_CA1_P+_131123_1 - B_3_M04_OC.lif_,APPPS1xFIRE,6.642234751286096,1086.1127999999999
70,C_1_M04_OC_C_1_M04_OC_L23_P+_151123_1 - C_1_M04_OC.lif_,APPPS1xFIRE,4.054488076661014,423.24119999999994
71,H_3_M04_OC_H_3_M04_OC_L23_P+_210224_2 - H_3_M04_OC.lif_,APPPS1xFIRE,8.103310187163181,3899.5343999999996
72,B_2_M04_OC_B_2_M04_OC_DGG_P+_031123_1 - B_2_M04_OC.lif_,APPPS1,14.869745596687624,7330.2408
73,F_3_M04_OC_F_3_M04_OC_CA1_P+_201223_1 - F_3_M04_OC_2.lif (default)_,APPPS1,8.135701113823627,1790.0351999999998
74,D_4_M04_OC_D_4_M04_OC_L1_P+_221123_2 - D_4_M04_OC.lif_,APPPS1xFIRE,3.6846919330134487,793.0547999999999
75,B_3_M04_OC_B_3_M04_OC_L4_P+_131123_1 - B_3_M04_OC.lif_,APPPS1xFIRE,8.790409265508728,1421.9388
76,B_3_M04_OC_B_3_M04_OC_L1_P+_061123_1 - B_3_M04_OC.lif (default)_,APPPS1xFIRE,4.8628687400405815,375.22439999999995
77,H_3_M04_OC_H_3_M04_OC_DGG_P+_210224_1 - H_3_M04_OC.lif_,APPPS1xFIRE,3.2129917427490593,4246.2144
78,F_1_M04_OC_F_1_M04_OC_L23_P+_231123_1 - F_1_M04_OC.lif_,APPPS1xFIRE,1.0868934433316004,93.37679999999999
79,H_1_M04_OC_H_1_M04_OC_DGG_P+_300124_1 - H_1_M04_OC.lif_,APPPS1,5.46856528936508,5942.548799999999
80,B_1_M04_OC_B_1_M04_OC_CA1_P+_021123_1 - B_1_M04_OC.lif (default)_,APPPS1,12.849596027647213,11281.4208
81,B_2_M04_OC_B_2_M04_OC_L23_P+_031123_2 - B_2_M04_OC.lif_,APPPS1,7.640653270092813,1338.5736
82,F_2_M04_OC_F_2_M04_OC_DGM_P+_231123_1 - F_2_M04_OC.lif_,APPPS1xFIRE,4.436808042819522,889.38
83,C_2_M04_OC_C_2_M04_OC_DGM_P+_161123_1 - C_2_M04_OC.lif_,APPPS1,9.01989388266541,5419.029599999999
84,A_4_M04_OC_A_4_M04_OC_L23_P+_201223_2 - A_4_M04_OC.lif_,APPPS1,8.115193602199865,3847.176
85,D_3_M04_OC_D_3_M04_OC_L4_P+_221123_1 - D_3_M04_OC.lif_,APPPS1xFIRE,6.843866592465861,6164.650799999999
86,B_2_M04_OC_B_2_M04_OC_CA1_P+_031123_1 - B_2_M04_OC.lif (default)_,APPPS1,10.8823629834296,11110.6404
87,H_1_M04_OC_H_1_M04_OC_L23_P+_110124_1 - H_1_M04_OC.lif_,APPPS1,10.711593414278948,3980.1131999999993
88,D_3_M04_OC_D_3_M04_OC_CA1_P+_221123_1 - D_3_M04_OC.lif_,APPPS1xFIRE,5.850710046297058,921.3912
89,D_4_M04_OC_D_4_M04_OC_CA1_P+_221123_1 - D_4_M04_OC.lif_,APPPS1xFIRE,2.2899126022949634,402.18119999999993
90,C_1_M04_OC_C_1_M04_OC_CA1_P+_151123_1 - C_1_M04_OC.lif_,APPPS1xFIRE,2.1092033176728275,978.1235999999999
91,C_1_M04_OC_C_1_M04_OC_L4_P+_151123_1 - C_1_M04_OC.lif_,APPPS1xFIRE,2.026496972040479,736.3223999999999
92,F_3_M04_OC_F_3_M04_OC_L23_P+_231123_1 - F_3_M04_OC.lif_,APPPS1,6.759525464883892,795.6468
93,B_4_M04_OC_B_4_M04_OC_L23_P+_131123_1 - B_4_M04_OC.lif_,APPPS1xFIRE,6.288985990309981,2158.3907999999997
94,D_3_M04_OC_D_3_M04_OC_L1_P+_221123_1 - D_3_M04_OC.lif (default)_,APPPS1xFIRE,6.2644648453942064,765.6119999999999
